CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20ze
Brooklyn/Curtis Bay/Hawkins Point,crime,81.654146,79.056379,62.135786,61.293267,54.9042,61.644317,80.390367,98.504529,85.445482,62.837885,52.657446,
Brooklyn/Curtis Bay/Hawkins Point,dom,108.0,68.0,58.0,51.0,36.0,36.0,34.0,32.0,30.5,24.0,22.0,
Brooklyn/Curtis Bay/Hawkins Point,domvio,68.03342,74.071474,63.469775,,,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,fam,39.508071,,,,,38.268156,39.068994,32.32187,31.423333,31.204898,,
Brooklyn/Curtis Bay/Hawkins Point,female,7262.0,,,,,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,femhhs,50.972763,,,,,46.037539,43.56383,43.393602,40.627279,43.938332,,
Brooklyn/Curtis Bay/Hawkins Point,fore,2.8,1.31,1.809211,3.618421,2.4947,2.09461,1.880583,1.621622,1.621622,1.076527,0.397847,
Brooklyn/Curtis Bay/Hawkins Point,hh25inc,52.52,35.778911,34.998544,35.957824,33.5556,34.078212,33.12552,31.400315,29.727252,32.560682,,
Brooklyn/Curtis Bay/Hawkins Point,hh40inc,17.65,22.334302,23.304663,20.126921,19.8384,19.393456,18.37074,18.318723,20.375888,19.090313,,
Brooklyn/Curtis Bay/Hawkins Point,hh60inc,11.71,16.409859,18.06264,17.37801,19.7374,21.787709,21.799667,18.521016,18.313087,18.215613,,
Brooklyn/Curtis Bay/Hawkins Point,hh75inc,7.85,12.354796,11.621478,12.256127,9.87879,9.517159,8.686617,9.080692,6.463443,5.138859,,
Brooklyn/Curtis Bay/Hawkins Point,hhchpov,,,,,46.9437,45.008801,46.447508,46.409959,39.891754,41.388479,,
Brooklyn/Curtis Bay/Hawkins Point,hhm75,10.28,13.122132,12.012675,14.281117,16.99,15.223464,18.017456,22.679254,25.12033,24.994533,,
Brooklyn/Curtis Bay/Hawkins Point,hhpov,,,,,,28.359564,26.333747,24.213606,21.543163,24.595713,,
Brooklyn/Curtis Bay/Hawkins Point,hhs,5204.0,,,,,,,,,4573.0,,
Brooklyn/Curtis Bay/Hawkins Point,juvarr,,56.722689,48.319328,67.927171,48.319328,23.809524,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,juvdrug,,21.708683,16.806723,17.507003,14.705882,7.002801,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,juvviol,,13.305322,6.302521,18.207283,9.103641,5.602241,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,male,6981.0,,,,,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,mhhi,32888.5,33644.052189,33526.36465,34419.965251,35861.896552,36679.053435,38603.930233,40275.27533,39936.5125,39162.13858,,
Brooklyn/Curtis Bay/Hawkins Point,ownroc,50.0,46.21,46.851504,45.629699,43.492586,43.492586,41.325811,40.329025,40.329025,36.95296,36.95296,
Brooklyn/Curtis Bay/Hawkins Point,p2more,4.051113,,,,,3.336524,3.476438,3.612403,3.85633,4.561404,5.77936,
Brooklyn/Curtis Bay/Hawkins Point,paa,35.905357,,,,,37.597429,40.647586,37.96124,34.233945,34.721248,35.781586,
Brooklyn/Curtis Bay/Hawkins Point,pasi,1.734185,,,,,1.374265,1.178086,2.527132,2.557524,2.736842,1.62475,
Brooklyn/Curtis Bay/Hawkins Point,phisp,9.794285,,,,,11.32914,12.908355,,14.711777,15.384016,24.096743,
Brooklyn/Curtis Bay/Hawkins Point,phsip,,,,,,,,14.906977,,,,
Brooklyn/Curtis Bay/Hawkins Point,ppac,0.70912,,,,,1.148639,1.098583,1.310078,0.889922,0.701754,0.98672,
Brooklyn/Curtis Bay/Hawkins Point,prop,,57.78277,46.900232,43.740785,40.0899,42.266376,53.499965,67.471741,61.082637,40.511128,36.017693,
Brooklyn/Curtis Bay/Hawkins Point,pwhite,47.80594,,,,,45.214002,40.690951,39.682171,43.750501,41.894737,31.730841,
Brooklyn/Curtis Bay/Hawkins Point,racdiv,66.706878,,,,,69.85751,71.510308,73.926734,72.42279,73.239533,,
Brooklyn/Curtis Bay/Hawkins Point,reosa,,42.55,23.728814,0.826446,5.084746,4.444444,1.273885,2.970297,23.076923,23.529412,8.62069,
Brooklyn/Curtis Bay/Hawkins Point,resrehab,1.26,1.01,1.174812,1.033835,1.035538,0.847258,1.38693,1.128085,1.645123,2.720785,2.550901,
Brooklyn/Curtis Bay/Hawkins Point,salepr,58005.0,42950.0,47050.0,45000.0,40000.0,37500.0,45000.0,52000.0,67500.0,57000.0,,
Brooklyn/Curtis Bay/Hawkins Point,shomes,104.0,86.0,84.0,77.0,113.0,95.0,177.0,155.0,196.0,237.0,,
Brooklyn/Curtis Bay/Hawkins Point,shoot,,2.948817,2.106298,,,4.282806,4.212596,6.038054,4.212596,3.580706,4.914695,
Brooklyn/Curtis Bay/Hawkins Point,totalres,4283.0,4259.0,4256.0,4256.0,4249.0,4249.0,4254.0,4255.0,4255.0,4273.0,4273.0,
Brooklyn/Curtis Bay/Hawkins Point,tpop,14243.0,,,,,,,,,,13479.0,
Brooklyn/Curtis Bay/Hawkins Point,vacant,3.74,4.16,4.981203,5.451128,5.930807,6.166157,6.276446,7.050529,7.826087,7.956939,8.073953,
Brooklyn/Curtis Bay/Hawkins Point,vio,3.74,4.273304,3.125,4.135338,,3.5496,2.797367,4.582844,5.945946,3.416803,3.533817,
Brooklyn/Curtis Bay/Hawkins Point,viol,25.345784,21.273608,15.235554,16.078073,14.1122,18.746051,26.118093,29.909429,24.362845,22.326757,16.639753,
Canton,Hhsi,,,,,,,,,,,,1.86
Canton,affordm,35.623557,35.681818,35.623557,32.869855,29.8454,25.0,23.383342,20.201485,17.423442,18.507609,,
Canton,affordr,40.655988,32.253086,38.206522,32.869855,33.4202,30.25974,28.19325,28.2523,24.281806,26.850508,,
Canton,age18_,2.950617,,,,,2.572791,2.847714,3.122748,3.27097,3.139775,,
Canton,age24_,10.493827,,,,,8.182731,6.660963,5.849147,4.212613,4.145957,,
Canton,age5_,4.135802,,,,,4.96988,5.316549,5.248619,5.600297,5.637047,,
Canton,age64_,71.481481,,,,,73.958333,74.468345,75.246217,76.966919,76.712329,,
Canton,age65_,10.94,,,,,10.316265,10.706429,10.533269,9.949201,10.364893,,
Canton,baltvac,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Canton,constper,,0.25,0.993789,0.745527,1.487726,0.991818,0.495417,0.247647,0.0,0.246914,0.0,
Canton,crime,60.987654,64.814815,57.901235,56.419753,46.5432,51.234568,45.555556,43.950617,58.641975,52.222222,36.54321,
Canton,dom,82.0,58.0,27.0,17.0,30.0,33.0,26.0,25.0,33.0,38.0,28.0,
Canton,domvio,34.320988,39.62963,35.802469,,,,,,,,,
Canton,fam,8.770302,,,,,9.7524,10.969833,11.029598,11.358344,11.524548,,
Canton,female,4089.0,,,,,,,,,,,
Canton,femhhs,19.84127,,,,,12.435233,9.090909,10.550459,13.439636,15.022422,,
Canton,fore,1.79,0.45,0.596273,1.366799,0.694272,0.421522,0.247709,0.47053,0.643883,0.520317,0.198216,
Canton,hh25inc,13.69,9.676533,9.805109,9.291095,9.43396,8.84285,8.800798,7.412092,6.752911,5.839793,,
Canton,hh40inc,8.12,9.303417,8.415361,7.785941,8.26468,8.716523,7.479432,7.816848,6.209573,4.935401,,
Canton,hh60inc,15.17,16.166428,15.016703,13.015386,13.1012,11.748358,9.922713,9.182899,7.813713,8.087855,,
Canton,hh75inc,13.1,11.888246,11.622685,11.972423,7.49402,7.377463,7.703815,6.4255,8.253558,9.173127,,
Canton,hhchpov,,,,,6.521739,5.490849,2.994012,4.017217,4.608939,4.834254,,
Canton,hhm75,49.92,52.965376,55.140142,57.935155,61.71,63.314805,66.093244,69.162661,70.970246,71.963824,,
