CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Canton,CSA2010,,,,,,,,,,,,Canton
Canton,arrest,,,,,8.636726,6.510763,3.08642,,,,,
Canton,banks,,0.493827,0.246914,0.246914,0.37037,0.493827,0.493827,0.493827,0.493827,0.246914,,
Canton,biz1_,7.643312,10.869565,11.538462,5.25,3.35196,8.554572,5.232558,4.43038,3.951368,4.137931,,
Canton,biz2_,17.834395,17.701863,26.098901,24.5,10.3352,12.979351,18.895349,24.367089,12.462006,10.0,,
Canton,biz4_,33.43949,34.161491,39.010989,42.25,38.2682,32.0,27.616279,32.594937,24.316109,17.241379,,
Canton,bkln,,,2.791246,,,,,,,,9.346937,
Canton,busload,,,,,,,,62.4691,72.9811,,,
Canton,clogged,6.296296,8.888889,5.925926,6.54321,3.82716,4.197531,4.691358,7.777778,4.197531,9.259259,4.691358,
Canton,cmos,,3.0,,,0.0,,,,,,,
Canton,comprop,205.0,210.0,208.0,207.0,201.0,201.0,198.0,204.0,204.0,189.0,,
Canton,crehab,14.146341,13.333333,13.461538,9.661836,12.437811,16.915423,16.161616,25.980392,6.372549,24.867725,,
Canton,dirtyst,32.839506,38.518519,38.271605,43.703704,47.901235,49.506173,46.54321,42.592593,38.024691,42.716049,36.91358,
Canton,elheat,,31.003634,29.735683,31.339648,33.0322,32.895402,34.879083,33.316469,32.884864,34.031008,,
Canton,hcvhouse,,,,,16.286645,11.038961,9.265387,10.512484,11.627907,13.062409,,
Canton,heatgas,,63.600783,65.831498,64.248985,62.7956,62.304194,61.00723,62.104731,63.622251,63.255814,,
Canton,hfai,,,16.9,,,15.2,,,,,,
Canton,kra,,,,,,,51.612903,53.125,,,,
Canton,nohhint,,,,,,,,9.258791,8.305304,6.382429,,
Canton,novhcl,,11.322337,11.013216,10.121786,10.0718,9.095503,6.357517,4.502909,4.683053,4.754522,,
Canton,numbus,314.0,322.0,364.0,400.0,358.0,339.0,344.0,316.0,329.0,290.0,,
Canton,palg1,,,,,,0.0,50.0,0.0,,,,
Canton,palg2,,,,,,33.3333,25.0,0.0,,,,
Canton,pmath3,,,,,,56.25,52.381,57.1429,,,,
Canton,pmath5,,,,,,28.5714,25.0,69.2308,,,,
Canton,pmath8,,,,,,77.7778,0.0,0.0,,,,
Canton,prbprl,,,,1.062982,,,,,,,,
Canton,pread3,,,,,,56.25,52.381,66.6667,,,,
Canton,pread5,,,,,,14.2857,18.75,25.0,,,,
Canton,pread8,,,,,,66.6667,12.5,25.0,,,,
Canton,pubtran,,5.683948,6.178396,4.962687,4.14278,4.492572,3.245296,3.190942,3.854996,3.843466,,
Canton,regvote,79.497741,,71.525379,,78.52777,,82.859421,,80.294977,,,
Canton,smlbus,307.0,316.0,352.0,384.0,344.0,316.0,309.0,289.0,310.0,271.0,,
Canton,trees,,10.232515,,,,,,12.516619,,,,
Canton,voted,43.2,,52.006378,,40.642978,,58.118522,,57.206685,,,
Canton,walked,,6.953987,5.769231,5.503731,5.0675,4.975837,4.36734,4.494768,5.35809,5.81761,,
Canton,wlksc,,89.214286,,,,,,87.762,,,,
Cedonia/Frankford,CSA2010,,,,,,,,,,,,Cedonia/Frankford
Cedonia/Frankford,arrest,,,,,21.698803,16.245995,12.268116,,,,,
